matchNo,Date,Time,Team1,Team2,Score1,Score2,Note,﻿Date,Date.2,Match No.,Home_team,Away_team,Stadium,City,Round,Home_team_score,Away_team_score,Remark,Referee_name,Assistant Referee 1,Assistant Referee 2,Fourth official,Attendance,Assistant_referee_1_name,Assistant_referee_2_name,Fourth_official_name,﻿matchNo,season_label,season_start_year,season_end_year,stage,source_file
,,10:15:00 PM,,,,,,Wed ,25/08/2010,21,Al-Raed,Al-Wehda,King Abdullah Sport City Stadium,Buraidah,3,3,2,,Saad Al-Kathiri,,,,2395,Abdulwahab Al-Zahrani,Abdelraheem Al-Shamari,Mohammed Al-Nuhait,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,9:45:00 PM,,,,,,Sat ,28/08/2010,23,Al-Qadsiah,Al-Taawoun,Prince Saud Bin Jalawi Sport City Stadium,Al-Khobar,4,4,1,,Fahad Al-Mirdasi,,,,162,Ziad Al-Mansor,Abdelraheem Al-Shamari,Fahad Al-Oraini,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,10:00:00 PM,,,,,,Sat ,28/08/2010,22,Al-Nassr,Al-Shabab,Prince Faisal bin Fahad Stadium,Riyadh,4,0,0,,Abdulrahman Al-Amri,,,,10439,Moaid Al-Sayeg,Bader Al-Shamrani,Suliman Al-Jasir,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,9:45:00 PM,,,,,,Sun ,29/08/2010,25,Al-Ettifaq,Al-Faisaly,Prince Mohamed bin Fahd Stadium,Dammam,4,1,0,,Abdullah Al-Qubaisi,,,,655,Hmood Al-Shamari,Abdullah Al-Ahmari,Mohammed Al-Sheef,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,9:45:00 PM,,,,,,Sun ,29/08/2010,28,Al-Fateh,Al-Raed,Prince Abdullah Bin Jalawi Sport City Stadium,Al-Ahsa,4,1,1,,Hussin Al-Setri,,,,298,Yahya Al-Meteq,Nawaf Al-Otaibi,Bader Al-Anazi,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,10:00:00 PM,,,,,,Sun ,29/08/2010,26,Najran,Al-Ahli,AlAkhdoud Club Stadium,Najran,4,2,1,,Metref Al-Qahtani,,,,1126,Nassir Al-Mudhaffr,Saleh Al-Shehri,Mohammed Al-Harthi,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,10:15:00 PM,,,,,,Sun ,29/08/2010,24,Al-Wehda,Al-Hilal,King Abdul Aziz Sport City Stadium,Makkah,4,1,3,,Fahad Al-Oraini,,,,6244,Abdullah Al-Shlwi,Majed Al-Nasser,Abdelrahman Al-Malki,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,10:15:00 PM,,,,,,Sun ,29/08/2010,27,Al-Ittihad,Al-Hazem,Prince Abdullah Al-Faisal Stadium,Jeddah,4,4,0,,Sami Al-Nemri,,,,6016,Abdulaziz Al-Kathiri,Abdullah Asiri,Abdulrahman Al-Kabi,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,8:20:00 PM,,,,,,Thu ,16/09/2010,30,Al-Ahli,Al-Ittihad,Prince Abdullah Al-Faisal Stadium,Jeddah,5,1,3,,Fabian Mihaly,,,,16350,LEMON Oszkár,Vinsel Toth,Abdulrahman Al-Amri,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,8:20:00 PM,,,,,,Thu ,16/09/2010,31,Al-Faisaly,Al-Nassr,King Salman Bin Abdul Aziz Sport City Stadium,Al-Mjmaah,5,1,1,,Fahad Al-Mirdasi,,,,3288,Abdullah Al-Shlwi,Ziad Al-Mansor,Faisal Al-Anazi,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,8:20:00 PM,,,,,,Thu ,16/09/2010,32,Al-Hazem,Al-Wehda,Alhazm Club Stadium,Al-Ras,5,1,1,,Meree Al-Awagi,,,,30,Khaled Al-Degairi,Ahmed Manai,Mohammed Al-Nuhait,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,8:20:00 PM,,,,,,Fri ,17/09/2010,34,Al-Ettifaq,Najran,Prince Mohamed bin Fahd Stadium,Dammam,5,1,0,,Sami Al-Nemri,,,,880,Moaid Al-Sayeg,Mohammed Al-Abkari,Mohammed Al-Sheef,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,8:20:00 PM,,,,,,Fri ,17/09/2010,35,Al-Taawoun,Al-Raed,King Abdullah Sport City Stadium,Buraidah,5,1,0,,Khalil Al-Ghamdi,,,,15160,Abdulaziz Al-Kathiri,Abdulaziz Al-Asmari,Saleh Al-Aqeel,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,8:15:00 PM,,,,,,Wed ,22/09/2010,37,Al-Wehda,Al-Ettifaq,King Abdul Aziz Sport City Stadium,Makkah,6,0,1,,Abdelrahman Al-Qahtani,,,,110,Ibrahim Al-Debasi,Yahya Al-Meteq,Sami Al-Nemri,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,8:15:00 PM,,,,,,Wed ,22/09/2010,38,Al-Raed,Al-Ittihad,King Abdullah Sport City Stadium,Buraidah,6,1,2,,Meree Al-Awagi,,,,2828,Bader Al-Shamrani,Ziad Al-Mansor,Mishari Al-Mishari,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,8:15:00 PM,,,,,,Wed ,22/09/2010,39,Al-Faisaly,Al-Hazem,King Salman Bin Abdul Aziz Sport City Stadium,Al-Mjmaah,6,3,1,,Khalid Al-Zahrani,,,,83,Nassir Al-Mudhaffr,Saleh Al-Mutairi,Abdulaziz Al-Funaitel,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,8:15:00 PM,,,,,,Thu ,23/09/2010,40,Al-Taawoun,Najran,King Abdullah Sport City Stadium,Buraidah,6,2,3,,Abdulrahman Al-Amri,,,,3417,Hmood Al-Shamari,Majed Al-Nasser,Mohammed Al-Owais,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,8:15:00 PM,,,,,,Thu ,23/09/2010,41,Al-Qadsiah,Al-Nassr,Prince Mohamed bin Fahd Stadium,Dammam,6,1,3,,BRYCH Felix,,,,9361,SCHIFFNER Thorsten,BORSCH Mark,Fahad Al-Oraini,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,8:10:00 PM,,,,,,Mon ,27/09/2010,43,Al-Ettifaq,Al-Fateh,Prince Mohamed bin Fahd Stadium,Dammam,7,2,2,,Saad Al-Kathiri,,,,2265,Nawaf Al-Otaibi,Abdullah Al-Ahmari,Abdulelah Al-Mousa,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,8:10:00 PM,,,,,,Mon ,27/09/2010,44,Najran,Al-Shabab,AlAkhdoud Club Stadium,Najran,7,1,2,,Meree Al-Awagi,,,,960,Abdullah Al-Shlwi,Khaled Al-Degairi,Abdulrahman Al-Shehri,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,8:10:00 PM,,,,,,Mon ,27/09/2010,46,Al-Hazem,Al-Raed,Alhazm Club Stadium,Al-Ras,7,0,0,,Fahad Al-Mirdasi,,,,921,Ahmed Fakihi,Abdelraheem Al-Shamari,Mohammed Al-Nuhait,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,8:10:00 PM,,,,,,Tue ,28/09/2010,47,Al-Nassr,Al-Wehda,King Fahad International Stadium,Riyadh,7,0,1,,Metref Al-Qahtani,,,,4441,Abdulaziz Al-Kathiri,Abdulwahab Al-Zahrani,Yahya Al-Qarni,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,8:10:00 PM,,,,,,Tue ,28/09/2010,48,Al-Ahli,Al-Taawoun,Prince Abdullah Al-Faisal Stadium,Jeddah,7,1,1,,Fahad Al-Oraini,,,,3399,Moaid Al-Sayeg,Mohammed Al-Abkari,Sami Al-Nemri,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,8:10:00 PM,,,,,,Tue ,28/09/2010,49,Al-Qadsiah,Al-Faisaly,Prince Saud Bin Jalawi Sport City Stadium,Al-Khobar,7,2,2,,Hussin Al-Setri,,,,247,Ibrahim Al-Debasi,Saleh Al-Shehri,Mohammed Al-Sheef,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,8:05:00 PM,,,,,,Fri ,01/10/2010,52,Al-Hilal,Al-Ettifaq,King Fahad International Stadium,Riyadh,8,1,0,,Abdulrahman Al-Amri,,,,6964,Bader Al-Shamrani,Fahad Al-Amri,Abdulaziz Al-Funaitel,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,8:05:00 PM,,,,,,Sat ,02/10/2010,50,Al-Wehda,Al-Fateh,King Abdul Aziz Sport City Stadium,Makkah,8,3,0,,Saleh Al-Aqeel,,,,8060,Khaled Al-Degairi,Mohammed Khmash,Abdulrahman Al-Kabi,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,8:05:00 PM,,,,,,Sat ,02/10/2010,51,Al-Raed,Al-Nassr,King Abdullah Sport City Stadium,Buraidah,8,1,1,,Sami Al-Nemri,,,,6117,Nassir Al-Mudhaffr,Majed Al-Nasser,Saleh Al-Hathlool,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,8:05:00 PM,,,,,,Sun ,03/10/2010,54,Al-Taawoun,Al-Ittihad,King Abdullah Sport City Stadium,Buraidah,8,0,1,,Abdullah Al-Qubaisi,,,,7244,Abdullah Asiri,Yahya Al-Meteq,Fahad Al-Mirdasi,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,8:05:00 PM,,,,,,Sun ,03/10/2010,55,Al-Ahli,Al-Qadsiah,Prince Abdullah Al-Faisal Stadium,Jeddah,8,2,1,,Khalid Al-Zahrani,,,,2255,Ahmed Fakihi,Fahad Al-Amri,Abdulrahman Al-Amri,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,8:05:00 PM,,,,,,Sun ,03/10/2010,56,Al-Faisaly,Najran,King Salman Bin Abdul Aziz Sport City Stadium,Al-Mjmaah,8,4,2,,Khalil Al-Ghamdi,,,,557,Abdulaziz Al-Asmari,Hmood Al-Shamari,Suliman Al-Jasir,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:55:00 PM,,,,,,Fri ,15/10/2010,58,Najran,Al-Qadsiah,AlAkhdoud Club Stadium,Najran,9,2,1,,Saad Al-Kathiri,,,,469,Ahmed Fakihi,Khaled Al-Degairi,Mohammed Al-Harthi,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:55:00 PM,,,,,,Fri ,15/10/2010,59,Al-Ittihad,Al-Wehda,Prince Abdullah Al-Faisal Stadium,Jeddah,9,1,1,,Meree Al-Awagi,,,,9659,Ibrahim Al-Debasi,Fahad Al-Amri,Abdulrahman Al-Kabi,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:55:00 PM,,,,,,Sat ,16/10/2010,60,Al-Nassr,Al-Ahli,Prince Faisal bin Fahad Stadium,Riyadh,9,2,1,,PICCIRILLO Herve,,,,7422,Fredji Harchay,BENECH David,Bader Al-Anazi,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:55:00 PM,,,,,,Sat ,16/10/2010,61,Al-Raed,Al-Ettifaq,King Abdullah Sport City Stadium,Buraidah,9,0,3,,Abbas Ibrahim,,,,7278,Abdulaziz Al-Asmari,Ziad Al-Mansor,Mohammed Al-Owais,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:55:00 PM,,,,,,Sat ,16/10/2010,62,Al-Fateh,Al-Faisaly,Prince Abdullah Bin Jalawi Sport City Stadium,Al-Ahsa,9,0,1,,Fahad Al-Oraini,,,,364,Bader Al-Shamrani,Mohammed Al-Abkari,Mohammed Al-Hoaish,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:55:00 PM,,,,,,Sat ,16/10/2010,63,Al-Hazem,Al-Taawoun,Alhazm Club Stadium,Al-Ras,9,0,3,,Khalil Al-Ghamdi,,,,608,Abdullah Al-Shlwi,Abdelraheem Al-Shamari,Fahad Al-Mirdasi,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:50:00 PM,,,,,,Wed ,20/10/2010,65,Al-Fateh,Al-Ittihad,Prince Abdullah Bin Jalawi Sport City Stadium,Al-Ahsa,10,0,0,,Fahad Al-Mirdasi,,,,3155,Abdulaziz Al-Kathiri,Abdulwahab Al-Zahrani,Shukri Al-Hanfosh,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:50:00 PM,,,,,,Thu ,21/10/2010,66,Al-Wehda,Najran,King Abdul Aziz Sport City Stadium,Makkah,10,2,0,,Abdulrahman Al-Amri,,,,1198,Moaid Al-Sayeg,Saleh Al-Shehri,Sami Al-Nemri,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:50:00 PM,,,,,,Thu ,21/10/2010,68,Al-Qadsiah,Al-Raed,Prince Saud Bin Jalawi Sport City Stadium,Al-Khobar,10,1,1,,Abdelrahman Al-Qahtani,,,,261,Abdullah Al-Shlwi,Hmood Al-Shamari,Abdulelah Al-Mousa,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:50:00 PM,,,,,,Fri ,22/10/2010,69,Al-Ettifaq,Al-Hazem,Prince Mohamed bin Fahd Stadium,Dammam,10,2,1,,Metref Al-Qahtani,,,,1569,Bader Al-Shamrani,Saleh Al-Mutairi,Fahad Al-Oraini,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:50:00 PM,,,,,,Fri ,22/10/2010,70,Al-Faisaly,Al-Taawoun,King Salman Bin Abdul Aziz Sport City Stadium,Al-Mjmaah,10,2,1,,Saad Al-Kathiri,,,,1009,Nawaf Al-Otaibi,Ziad Al-Mansor,Meree Al-Awagi,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:50:00 PM,,,,,,Sun ,24/10/2010,64,Al-Hilal,Al-Nassr,King Fahad International Stadium,Riyadh,10,1,1,,RUBINOS PEREZ Antonio,,,,18058,YUSTE JIMENEZ Juan Carlos,Marcos Alvarez Moreno,Meree Al-Awagi,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:50:00 PM,,,,,,Tue ,26/10/2010,67,Al-Ahli,Al-Shabab,Prince Abdullah Al-Faisal Stadium,Jeddah,10,1,2,,Fahad Al-Mirdasi,,,,5358,Abdulaziz Al-Kathiri,Abdullah Al-Shlwi,Khalil Al-Ghamdi,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:45:00 PM,,,,,,Thu ,28/10/2010,71,Al-Nassr,Al-Ettifaq,King Fahad International Stadium,Riyadh,11,2,1,,Khalil Al-Ghamdi,,,,4591,Ibrahim Al-Debasi,Majed Al-Nasser,Bader Al-Anazi,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:45:00 PM,,,,,,Thu ,28/10/2010,72,Al-Raed,Al-Hilal,King Abdullah Sport City Stadium,Buraidah,11,0,4,,Fahad Al-Oraini,,,,13592,Moaid Al-Sayeg,Mohammed Al-Abkari,Saleh Al-Aqeel,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:45:00 PM,,,,,,Thu ,28/10/2010,73,Najran,Al-Hazem,AlAkhdoud Club Stadium,Najran,11,4,0,,Abdullah Al-Qubaisi,,,,546,Nassir Al-Mudhaffr,Yahya Al-Meteq,Mohammed Al-Harthi,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:45:00 PM,,,,,,Fri ,29/10/2010,74,Al-Shabab,Al-Wehda,Prince Faisal bin Fahad Stadium,Riyadh,11,4,3,,Saleh Al-Hathlool,,,,458,Ahmed Fakihi,Khaled Al-Degairi,Suliman Al-Jasir,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:45:00 PM,,,,,,Fri ,29/10/2010,75,Al-Taawoun,Al-Fateh,King Abdullah Sport City Stadium,Buraidah,11,0,0,,Meree Al-Awagi,,,,2799,Fahad Al-Amri,Mohammed Khmash,Mohammed Al-Nuhait,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:45:00 PM,,,,,,Fri ,29/10/2010,76,Al-Qadsiah,Al-Ittihad,Prince Saud Bin Jalawi Sport City Stadium,Al-Khobar,11,1,1,,Abdulrahman Al-Amri,,,,5558,Abdelraheem Al-Shamari,Abdullah Al-Ahmari,Hussin Al-Setri,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:45:00 PM,,,,,,Sat ,30/10/2010,77,Al-Faisaly,Al-Ahli,King Salman Bin Abdul Aziz Sport City Stadium,Al-Mjmaah,11,3,2,,Abbas Ibrahim,,,,674,Abdulaziz Al-Asmari,Abdullah Asiri,Yahya Al-Qarni,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:40:00 PM,,,,,,Tue ,02/11/2010,78,Al-Hilal,Al-Qadsiah,Prince Faisal bin Fahad Stadium,Riyadh,12,0,0,,Meree Al-Awagi,,,,6620,Abdullah Al-Shlwi,Saleh Al-Shehri,Saad Al-Kathiri,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:40:00 PM,,,,,,Tue ,02/11/2010,80,Al-Fateh,Najran,Prince Abdullah Bin Jalawi Sport City Stadium,Al-Ahsa,12,2,0,,Saleh Al-Hathlool,,,,379,Majed Al-Nasser,Khaled Al-Degairi,Shukri Al-Hanfosh,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:40:00 PM,,,,,,Wed ,03/11/2010,79,Al-Wehda,Al-Ahli,King Abdul Aziz Sport City Stadium,Makkah,12,1,3,,Fahad Al-Oraini,,,,1836,Bader Al-Shamrani,Mohammed Al-Abkari,Abdelrahman Al-Malki,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:40:00 PM,,,,,,Wed ,03/11/2010,81,Al-Ettifaq,Al-Taawoun,Prince Mohamed bin Fahd Stadium,Dammam,12,1,0,,Sami Al-Nemri,,,,1194,Abdulaziz Al-Kathiri,Fahad Al-Amri,Hussin Al-Setri,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:40:00 PM,,,,,,Wed ,03/11/2010,82,Al-Raed,Al-Faisaly,King Abdullah Sport City Stadium,Buraidah,12,0,0,,Metref Al-Qahtani,,,,5930,Abdulwahab Al-Zahrani,Hmood Al-Shamari,Mohammed Al-Owais,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:40:00 PM,,,,,,Wed ,03/11/2010,83,Al-Ittihad,Al-Shabab,Prince Abdullah Al-Faisal Stadium,Jeddah,12,2,2,,Istvan Vad,,,,10748,LEMON Oszkár,VISZOKAI Laszlo,Szabolcs Szilasi,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:40:00 PM,,,,,,Wed ,03/11/2010,84,Al-Hazem,Al-Nassr,Alhazm Club Stadium,Al-Ras,12,2,5,,Abdelrahman Al-Qahtani,,,,1790,Nassir Al-Mudhaffr,Ziad Al-Mansor,Turki Al-Khudair,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:45:00 PM,,,,,,Sun ,07/11/2010,36,Al-Hilal,Al-Ahli,Prince Faisal bin Fahad Stadium,Riyadh,6,3,3,Delayed to this date,Circhetta Claudio,,,,7715,NAVARRO Manuel,Christoph Erhard,Abdulaziz Al-Funaitel,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:45:00 PM,,,,,,Sun ,07/11/2010,42,Al-Fateh,Al-Shabab,Prince Abdullah Bin Jalawi Sport City Stadium,Al-Ahsa,6,1,1,Delayed to this date,Saad Al-Kathiri,,,,1078,Bader Al-Shamrani,Khaled Al-Degairi,Shukri Al-Hanfosh,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:35:00 PM,,,,,,Wed ,10/11/2010,85,Al-Nassr,Al-Ittihad,Prince Faisal bin Fahad Stadium,Riyadh,13,2,2,,Michael Koukoulakis,,,,14750,Bozatzidis Dimitrios,TRYFONAS Spyridon,Metref Al-Qahtani,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:35:00 PM,,,,,,Wed ,10/11/2010,86,Al-Taawoun,Al-Wehda,King Abdullah Sport City Stadium,Buraidah,13,1,2,,Hussin Al-Setri,,,,2613,Abdullah Al-Shlwi,Nawaf Al-Otaibi,Saleh Al-Aqeel,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:35:00 PM,,,,,,Thu ,11/11/2010,87,Al-Ahli,Al-Raed,Prince Abdullah Al-Faisal Stadium,Jeddah,13,1,2,,Saad Al-Kathiri,,,,8014,Moaid Al-Sayeg,Mohammed Khmash,Abdulrahman Al-Kabi,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:35:00 PM,,,,,,Thu ,11/11/2010,88,Al-Qadsiah,Al-Ettifaq,Prince Saud Bin Jalawi Sport City Stadium,Al-Khobar,13,0,3,,Fahad Al-Oraini,,,,3978,Nassir Al-Mudhaffr,Fahad Al-Amri,Abdulelah Al-Mousa,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:35:00 PM,,,,,,Thu ,11/11/2010,89,Al-Shabab,Al-Faisaly,Prince Faisal bin Fahad Stadium,Riyadh,13,4,1,,Meree Al-Awagi,,,,595,Khaled Al-Degairi,Majed Al-Nasser,Bader Al-Anazi,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:35:00 PM,,,,,,Thu ,11/11/2010,90,Najran,Al-Hilal,AlAkhdoud Club Stadium,Najran,13,0,3,,Fahad Al-Mirdasi,,,,368,Bader Al-Shamrani,Abdulwahab Al-Zahrani,Mohammed Al-Harthi,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:35:00 PM,,,,,,Thu ,11/11/2010,91,Al-Hazem,Al-Fateh,Alhazm Club Stadium,Al-Ras,13,2,1,,Abbas Ibrahim,,,,97,Saleh Al-Mutairi,Abdelraheem Al-Shamari,Mishari Al-Mishari,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:15:00 PM,,,,,,Thu ,09/12/2010,95,Al-Faisaly,Al-Wehda,King Salman Bin Abdul Aziz Sport City Stadium,Al-Mjmaah,14,1,0,,Fahad Al-Mirdasi,,,,636,Moaid Al-Sayeg,Ziad Al-Mansor,Faisal Al-Anazi,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:35:00 PM,,,,,,Thu ,09/12/2010,96,Al-Raed,Al-Shabab,King Abdullah Sport City Stadium,Buraidah,14,2,2,,Abdulrahman Al-Amri,,,,4134,Abdulaziz Al-Kathiri,Majed Al-Nasser,Saleh Al-Hathlool,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:35:00 PM,,,,,,Thu ,09/12/2010,97,Al-Qadsiah,Al-Fateh,Prince Saud Bin Jalawi Sport City Stadium,Al-Khobar,14,0,1,,Abdullah Al-Qubaisi,,,,174,Saleh Al-Mutairi,Yahya Al-Meteq,Abdulelah Al-Mousa,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:35:00 PM,,,,,,Fri ,10/12/2010,92,Al-Nassr,Najran,Prince Faisal bin Fahad Stadium,Riyadh,14,6,1,,Fahad Al-Oraini,,,,3009,Abdullah Al-Shlwi,Abdelraheem Al-Shamari,Abdulaziz Al-Funaitel,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:35:00 PM,,,,,,Fri ,10/12/2010,93,Al-Ettifaq,Al-Ittihad,Prince Mohamed bin Fahd Stadium,Dammam,14,2,2,,Abbas Ibrahim,,,,10032,Bader Al-Shamrani,Khaled Al-Degairi,Abdulrahman Al-Ahmri,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:35:00 PM,,,,,,Fri ,10/12/2010,94,Al-Taawoun,Al-Hilal,King Abdullah Sport City Stadium,Buraidah,14,2,2,,Saad Al-Kathiri,,,,11220,Nawaf Al-Otaibi,Mohammed Khmash,Saleh Al-Aqeel,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:35:00 PM,,,,,,Fri ,10/12/2010,98,Al-Hazem,Al-Ahli,Alhazm Club Stadium,Al-Ras,14,1,3,,Metref Al-Qahtani,,,,214,Nassir Al-Mudhaffr,Abdulwahab Al-Zahrani,Mohammed Al-Nuhait,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:40:00 PM,,,,,,Tue ,14/12/2010,102,Al-Shabab,Al-Taawoun,Prince Faisal bin Fahad Stadium,Riyadh,15,4,1,,Fahad Al-Mirdasi,,,,291,Nassir Al-Mudhaffr,Abdelraheem Al-Shamari,Yahya Al-Qarni,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:40:00 PM,,,,,,Wed ,15/12/2010,99,Al-Hilal,Al-Hazem,Prince Faisal bin Fahad Stadium,Riyadh,15,3,0,,Yahya Hazzazi,,,,3968,Abdulaziz Al-Kathiri,Bader Al-Shamrani,Abdulaziz Al-Funaitel,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:40:00 PM,,,,,,Wed ,15/12/2010,105,Al-Fateh,Al-Nassr,Prince Abdullah Bin Jalawi Sport City Stadium,Al-Ahsa,15,1,1,,Abdulrahman Al-Amri,,,,7143,Fahad Al-Amri,Saleh Al-Shehri,Mohammed Al-Hoaish,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:40:00 PM,,,,,,Wed ,15/12/2010,103,Al-Ahli,Al-Ettifaq,Prince Abdullah Al-Faisal Stadium,Jeddah,15,5,1,,Khalil Al-Ghamdi,,,,5938,Moaid Al-Sayeg,Khaled Al-Degairi,Abdelrahman Al-Malki,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:40:00 PM,,,,,,Thu ,16/12/2010,101,Al-Ittihad,Al-Faisaly,Prince Abdullah Al-Faisal Stadium,Jeddah,15,3,3,,Fahad Al-Oraini,,,,9446,Abdulaziz Al-Asmari,Mohammed Al-Abkari,Abdulrahman Al-Kabi,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:40:00 PM,,,,,,Thu ,16/12/2010,104,Najran,Al-Raed,AlAkhdoud Club Stadium,Najran,15,0,0,,Metref Al-Qahtani,,,,369,Ahmed Fakihi,Abdullah Al-Ahmari,Mohammed Al-Harthi,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:40:00 PM,,,,,,Sat ,18/12/2010,33,Al-Shabab,Al-Qadsiah,Prince Faisal bin Fahad Stadium,Riyadh,5,3,1,Delayed for this day,Abbas Ibrahim,,,,346,Khaled Al-Degairi,Majed Al-Nasser,Khaled Salwi,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:40:00 PM,,,,,,Sun ,19/12/2010,29,Al-Hilal,Al-Fateh,Prince Faisal bin Fahad Stadium,Riyadh,5,2,0,Delayed for this day,Meree Al-Awagi,,,,4375,Abdullah Al-Shlwi,Mohammed Al-Abkari,Khaled Al-Teris,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
,,7:40:00 PM,,,,,,Wed ,22/12/2010,106,Al-Wehda,Al-Raed,King Abdul Aziz Sport City Stadium,Makkah,16,2,3,,Fahad Al-Mirdasi,,,,261,Abdulwahab Al-Zahrani,Hmood Al-Shamari,Abdulrahman Al-Kabi,,2010-2011,2010,2011,SS,SPL-2010-2011-SS.csv
